
--- onuAuthenSN ---
  gpon0/0/5/11: 48:57:54:43:12:03:DA:F0
  gpon0/0/5/12: 42:54:50:54:DD:2C:8D:B5
  gpon0/0/5/13: 47:50:4F:4E:00:76:82:18
  gpon0/0/5/14: 48:57:54:43:A6:4C:68:1A
  gpon0/0/5/15: 43:44:54:43:1D:3B:16:E9
  gpon0/0/5/16: 56:53:4F:4C:C8:BD:3B:11
  gpon0/0/5/17: 41:4C:43:4C:F2:57:70:74
  gpon0/0/5/18: 48:57:54:43:9E:61:FD:D0
  gpon0/0/5/19: 58:50:30:4E:51:E1:94:4C
  gpon0/0/5/20: 48:57:54:43:93:A2:94:50
  gpon0/0/5/21: 48:57:54:43:08:09:94:70
  gpon0/0/5/22: 44:42:31:32:E6:DE:28:9F
  gpon0/0/5/23: 48:57:54:43:9E:84:C1:06
  gpon0/0/5/24: 47:50:4F:4E:00:8B:27:48
  gpon0/0/5/25: 56:53:4F:4C:00:99:48:A1
  gpon0/0/5/26: 44:42:31:32:E6:DE:24:0B
  gpon0/0/5/27: 4F:4E:50:4C:9B:02:43:08
  gpon0/0/5/28: 42:54:50:54:DD:2C:C2:F1
  gpon0/0/5/29: 44:30:31:31:A6:3A:EC:4B
  gpon0/0/5/30: 48:57:54:43:B6:33:2E:30
  gpon0/0/5/32: 42:54:50:54:DD:34:74:DA
  gpon0/0/5/33: 48:57:54:43:10:26:B2:70
  gpon0/0/5/34: 56:53:4F:4C:00:B7:FE:29
  gpon0/0/5/35: 56:53:4F:4C:00:9F:6D:59
  gpon0/0/5/37: 48:57:54:43:10:26:BA:A0
  gpon0/0/5/38: 58:50:4F:4E:51:E2:6B:AA
  gpon0/0/5/40: 42:54:50:54:DD:2B:A4:63
  gpon0/0/5/45: 44:30:31:31:A6:C6:30:7A
  gpon0/0/5/46: 48:57:54:43:04:16:76:50
  gpon0/0/5/47: 47:50:4F:4E:00:71:20:4E
  gpon0/0/5/48: 44:30:31:31:A6:9F:DE:DA
  gpon0/0/5/55: 42:44:43:4D:62:D7:B0:71
  gpon0/0/5/58: 48:57:54:43:9E:61:CA:C4
  gpon0/0/5/63: 48:57:54:43:37:16:30:53
  gpon0/0/5/64: 48:57:54:43:3B:81:C1:53
  gpon0/0/5/66: 48:57:54:43:09:09:A7:D0
  gpon0/0/5/68: 48:57:54:43:09:09:26:40
  gpon0/0/5/69: 48:57:54:43:08:09:95:E0
  gpon0/0/5/71: 42:44:43:4D:62:9F:1D:56
  gpon0/0/5/72: 58:47:54:43:6A:84:93:78
  gpon0/0/5/73: 43:44:54:43:1D:39:91:41
  gpon0/0/5/75: 48:57:54:43:9E:92:C0:CE
  gpon0/0/5/76: 48:57:54:43:11:23:37:D0
  gpon0/0/5/77: 42:54:50:54:DD:2B:9E:E9
  gpon0/0/5/79: 48:57:54:43:2A:69:DF:3B
  gpon0/0/5/122: 58:50:4F:4E:51:E2:6A:A8
  gpon0/0/5/124: 44:30:31:31:A6:3A:CD:B5
  gpon0/0/6/1: 48:57:54:43:04:19:0E:30
  gpon0/0/6/2: 44:42:31:32:E6:DE:25:9D
  gpon0/0/6/3: 58:50:4F:4E:51:E2:D0:E6
  gpon0/0/6/4: 44:30:31:31:A6:C6:3E:4C
  gpon0/0/6/5: 42:54:50:54:DD:34:2C:3A
  gpon0/0/6/6: 56:53:4F:4C:00:B7:FF:61
  gpon0/0/6/7: 58:50:4F:4E:51:E1:A8:C8
  gpon0/0/6/8: 48:57:54:43:04:19:00:D0
  gpon0/0/6/9: 58:50:4F:4E:9E:50:4D:10
  gpon0/0/6/10: 42:54:50:54:DD:34:0C:5A
  gpon0/0/6/11: 44:42:31:32:E6:DE:26:53
  gpon0/0/6/12: 44:42:31:32:E6:DE:28:89
  gpon0/0/6/13: 48:57:54:43:E8:C5:57:8A
  gpon0/0/6/14: 42:54:50:54:DD:2B:A3:DB
  gpon0/0/6/15: 48:57:54:43:03:01:47:D0
  gpon0/0/6/16: 58:50:4F:4E:51:E2:69:5E
  gpon0/0/6/17: 48:57:54:43:02:18:28:00
  gpon0/0/6/18: 48:57:54:43:08:09:91:B0
  gpon0/0/6/19: 42:54:50:54:DD:34:2C:3E
  gpon0/0/6/20: 42:54:50:54:DD:2C:E1:2D
  gpon0/0/6/21: 42:54:50:54:DD:2F:33:8F
  gpon0/0/6/22: 56:53:4F:4C:00:CE:5B:E1
  gpon0/0/6/23: 56:53:4F:4C:00:B8:05:21
  gpon0/0/6/24: 44:42:31:32:E6:DE:23:0F
  gpon0/0/6/25: 42:54:50:54:DD:34:55:E2
  gpon0/0/6/26: 58:50:4F:4E:35:01:02:81
  gpon0/0/6/27: 48:57:54:43:08:09:95:60
  gpon0/0/6/28: 41:4C:43:4C:F2:2D:76:90
  gpon0/0/6/29: 48:57:54:43:11:23:36:D0
  gpon0/0/6/30: 42:54:50:54:DD:34:62:72
  gpon0/0/6/31: 41:4C:43:4C:F2:62:52:0F
  gpon0/0/6/32: 42:54:50:54:DD:34:7B:4E
  gpon0/0/6/33: 42:54:50:54:DD:34:12:F2
  gpon0/0/6/34: 48:57:54:43:61:1B:50:7F
  gpon0/0/6/35: 48:57:54:43:EF:51:08:7F
  gpon0/0/6/36: 42:54:50:54:DD:2C:80:45
  gpon0/0/6/37: 56:53:4F:4C:00:27:9E:F7
  gpon0/0/6/38: 48:57:54:43:08:09:95:F0
  gpon0/0/6/39: 42:54:50:54:DD:34:2C:1A
  gpon0/0/6/40: 56:53:4F:4C:00:28:6F:5F
  gpon0/0/6/41: 42:54:50:54:DD:2F:33:83
  gpon0/0/6/42: 41:4C:43:4C:F2:5F:C6:ED
  gpon0/0/6/43: 47:50:4F:4E:00:71:20:DE
  gpon0/0/6/44: 42:54:50:54:DD:34:74:F6
  gpon0/0/6/45: 44:42:31:32:E6:DE:24:43
  gpon0/0/6/46: 41:4C:43:4C:F2:3D:52:C7
  gpon0/0/6/47: 48:57:54:43:9E:60:B5:68
  gpon0/0/6/48: 48:57:54:43:10:26:FF:90
  gpon0/0/6/49: 48:57:54:43:9E:62:F1:30
  gpon0/0/6/50: 56:53:4F:4C:00:B7:FF:41
  gpon0/0/6/51: 48:57:54:43:21:B1:9B:4E
  gpon0/0/6/52: 48:57:54:43:06:11:2A:A0
  gpon0/0/6/53: 44:42:31:32:E6:DE:28:AF
  gpon0/0/6/54: 48:57:54:43:02:19:52:D0
  gpon0/0/6/55: 48:57:54:43:05:11:36:C0
  gpon0/0/6/56: 42:54:50:54:DD:2F:2F:39
  gpon0/0/6/57: 48:57:54:43:9E:84:51:82
  gpon0/0/6/58: 48:57:54:43:92:35:E8:68
  gpon0/0/6/59: 48:57:54:43:08:09:92:00
  gpon0/0/6/60: 43:44:54:43:1D:3A:51:95
  gpon0/0/6/61: 42:54:50:54:DD:2C:AB:01
  gpon0/0/6/62: 44:46:31:42:A6:F9:5E:4A
  gpon0/0/6/63: 44:42:31:32:E6:DE:28:A3
  gpon0/0/6/64: 48:57:54:43:04:1A:7E:E0
  gpon0/0/6/65: 48:57:54:43:06:15:2D:10
  gpon0/0/6/66: 42:54:50:54:DD:2F:33:9B
  gpon0/0/6/67: 56:53:4F:4C:00:B8:04:C9
  gpon0/0/6/68: 48:57:54:43:08:04:39:B0
  gpon0/0/6/69: 56:53:4F:4C:00:44:D5:15
